A_id;Size;Weight;Sweetness;Crunchiness;Juiciness;Ripeness;Acidity;Quality
0;0.234668691477186;0.358370181867069;0.922484375936985;0.368781164797412;0.585818828973688;0.472770017969366;0.452225026701786;1
1;0.439331400889059;0.333106969529888;0.795706169888909;0.558928017384951;0.51140848457591;0.513807448057397;0.436185173934257;1
2;0.505948060324944;0.448092286049696;0.388567376121954;0.417731600543349;0.660388301187439;0.444693320157255;0.668192257155772;0
3;0.479014144794841;0.376971366705245;0.619422032438695;0.435628699613943;0.720370065388935;0.187052060734868;0.541180230506787;1
4;0.628107090860314;0.452316996004732;0.49058938565244;0.402346501258474;0.674813823895876;0.348084098829979;0.521150145284782;1
5;0.274840247582679;0.443625693927736;0.375372957405718;0.402144006757247;0.15824539383967;0.593722806224864;0.279496255618809;0
6;0.62570180130944;0.678935264868513;0.585592351448332;0.320094244943267;0.680477068869977;0.306598124732382;0.653800164869602;1
7;0.380307888878943;0.519366127741137;0.634929117942513;0.388454935502409;0.459297111082457;0.521966829965267;0.384343241409304;1
8;0.242222590396225;0.263924726992898;0.593916376243554;0.354474244778419;0.619434503313766;0.759058850362285;0.148358859583254;0
9;0.47379312615286;0.518294932086163;0.211182303219394;0.48648005095998;0.476922427903407;0.571302612535443;0.637944567903844;0
10;0.328392373161702;0.449774980219917;0.412677153860318;0.3970418959565;0.625302707730326;0.70733134834758;0.29133890193661;0
11;0.70826179048692;0.508916895730952;0.396358868363801;0.511700470102544;0.290746899258288;0.540275168986097;0.576115444717158;1
12;0.514888281416552;0.408218501873458;0.386049133890645;0.619251853649145;0.215164173771748;0.399903857737732;0.342305268282541;0
13;0.428244767948999;0.42704071645999;0.67362718507675;0.571109496297756;0.522235293138884;0.480733427305572;0.605924252773552;1
14;0.736925242822235;0.52586973189528;0.44272444550443;0.508203627097526;0.349822245918549;0.492044207186633;0.604931009475379;1
15;0.331301998582002;0.336474081597727;0.838386681895535;0.493795454197169;0.611032935081073;0.440820599882846;0.41115537546121;1
16;0.419141627798348;0.401797725811393;0.352699613383536;0.509313517578509;0.662325323629562;0.750284517444942;0.447603664894513;0
17;0.522001501978089;0.188175587761108;0.538400575220479;0.657435926746849;0.553165709662741;0.245816030685804;0.57310796960044;1
18;0.505185385030302;0.685769599963329;0.335519912967538;0.696177639069946;0.481130453714796;0.441920620095714;0.659322881403627;0
19;0.372003771600542;0.580061013141844;0.432445459442584;0.759184566561588;0.564555819220707;0.0942133731083993;0.390827186936593;1
20;0.355294932753879;0.325035265925925;0.25938305490838;0.498537082249434;0.753274313446954;0.931967509089384;0.536744134332891;0
21;0.614342297008525;0.496747633302905;0.415042794779862;1;0.527617228820477;0.162549434982523;0.669670672824173;1
22;0.34870426628905;0.498536878724788;0.530582797014418;0.488863485508293;0.671788689667605;0.507086775147807;0.707216953195223;0
23;0.537496655539827;0.494266878153063;0.354073182016392;0.51878470113523;0.490941569993386;0.464944677466693;0.631077603245118;0
24;0.566058726778551;0.442157207390649;0.463545170407857;0.573442474205412;0.131645956761055;0.308291360835494;0.387096932184563;0
25;0.431642164712896;0.281676782664651;0.43446448614815;0.48343743238342;0.236700877650186;0.57845955181364;0.219482230827466;0
26;0.505308262844413;0.512825084484464;0.588986023700474;0.54356702122101;0.61807431840725;0.504481418095353;0.282790974585016;1
27;0.674987962988058;0.604288895424506;0.361347848367124;0.636265761653182;0.373126913609567;0.476089273436141;0.319997139897725;0
28;0.634142996431941;0.68053767666313;0.385621381198793;0.567756587626251;0.421739474806441;0.346665273692066;0.405986741461276;0
29;0.48354062210246;0.671109035161312;0.386239478126882;0.491378724511036;0.41489555491853;0.508686919551249;0.600508350159529;0
30;0.55776340086945;0.377847414487705;0.268176195227107;0.421929853815518;0.242231737640335;0.644962881764523;0.275653349874526;0
31;0.33860509100642;0.545064146334769;0.701483028065066;0.539188315202089;0.692884389663585;0.310431929265055;0.303406889364079;1
32;0.65152088050614;0.322101474939387;0.513563528557548;0.373471676606854;0.675109344935175;0.393513682541052;0.567280844438251;1
33;0.484059091325718;0.465811366644768;0.69473976844447;0.465596387723574;0.833737536853358;0.191766675244446;0.87203660133258;0
